Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
ShuguangCui,Cui S.,"University of California, Davis, Department of Electrical & Computer Engineering",213,7924,"['Modeling and Simulation', 'Automotive Engineering', 'Applied Mathematics', 'Materials Science (all)', 'Biotechnology', 'Computational Theory and Mathematics', 'Hardware and Architecture', 'Safety, Risk, Reliability and Quality', 'Computer Science Applications', 'Theoretical Computer Science', 'Global and Planetary Change', 'Library and Information Sciences', 'Control and Optimization', 'Genetics', 'Computer Science (all)', 'Computer Networks and Communications', 'Civil and Structural Engineering', 'Renewable Energy, Sustainability and the Environment', 'Artificial Intelligence', 'Human-Computer Interaction', 'Health Informatics', 'Acoustics and Ultrasonics', 'Media Technology', 'Biomedical Engineering', 'Aerospace Engineering', 'Control and Systems Engineering', 'Information Systems', 'Communication', 'Software', 'Music', 'Fuel Technology', 'Signal Processing', 'Energy Engineering and Power Technology', 'Instrumentation', 'Mathematics (all)', 'Engineering (all)', 'Electrical and Electronic Engineering']","['multi-task learning', 'recurrent neural network', 'Spatio-temporal model']"
JianyongWang,Wang J.,"Sichuan University, Machine Intelligence Laboratory",4,8,"['Software', 'Engineering (all)', 'Computer Science Applications', 'Medicine (all)', 'Artificial Intelligence', 'Computer Networks and Communications', 'Biochemistry, Genetics and Molecular Biology (all)']","['delay connection', 'LSTM', 'Recurrent neural network', 'recurrent unit', 'sequence modeling']"
YuanyuanChen,Chen Y.,"Sichuan University, Machine Intelligence Laboratory",11,18,"['Information Systems', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Control and Systems Engineering', 'Theoretical Computer Science', 'Engineering (all)', 'Information Systems and Management', 'Artificial Intelligence', 'Medicine (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Cognitive Neuroscience', 'Management Information Systems', 'Software', 'Computer Vision and Pattern Recognition', 'Materials Science (all)', 'Computer Science Applications', 'Radiological and Ultrasound Technology', 'Computer Science (all)']","['delay connection', 'LSTM', 'Recurrent neural network', 'recurrent unit', 'sequence modeling']"
DongxiaoZhang,Zhang D.,Peking University,211,3470,"['Management, Monitoring, Policy and Law', 'Mathematical Physics', 'Multidisciplinary', 'Acoustics and Ultrasonics', 'Mathematics (all)', 'Software', 'Chemical Engineering (all)', 'Fluid Flow and Transfer Processes', 'Geotechnical Engineering and Engineering Geology', 'Environmental Science (all)', 'Computers in Earth Sciences', 'Statistics and Probability', 'Mechanical Engineering', 'Energy Engineering and Power Technology', 'Engineering (all)', 'Soil Science', 'Organic Chemistry', 'Control and Systems Engineering', 'Geology', 'Statistical and Nonlinear Physics', 'Artificial Intelligence', 'Aquatic Science', 'Earth and Planetary Sciences (all)', 'Oceanography', 'Water Science and Technology', 'Signal Processing', 'Catalysis', 'Computer Science (miscellaneous)', 'Safety, Risk, Reliability and Quality', 'Chemistry (all)', 'Geochemistry and Petrology', 'Pollution', 'Computational Mechanics', 'Astronomy and Astrophysics', 'Hardware and Architecture', 'Economic Geology', 'Industrial and Manufacturing Engineering', 'Computer Science (all)', 'Renewable Energy, Sustainability and the Environment', 'Computational Mathematics', 'Ocean Engineering', 'Information Systems', 'Physics and Astronomy (all)', 'Atmospheric Science', 'Condensed Matter Physics', 'Electronic, Optical and Magnetic Materials', 'Space and Planetary Science', 'Computer Graphics and Computer-Aided Design', 'Modeling and Simulation', 'Civil and Structural Engineering', 'Materials Science (all)', 'Physics and Astronomy (miscellaneous)', 'Building and Construction', 'Electrical and Electronic Engineering', 'Applied Mathematics', 'Geophysics', 'Earth and Planetary Sciences (miscellaneous)', 'Environmental Chemistry', 'Computational Theory and Mathematics', 'Mechanics of Materials', 'Environmental Engineering', 'Computer Science Applications', 'Fuel Technology', 'Cognitive Neuroscience', 'Earth-Surface Processes', 'Energy (all)']","['artificial intelligence', 'Fully Connected Neural Network', 'generating method', 'Long Short-Term Memory', 'machine learning', 'Recurrent Neural Network', 'well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log']"
YuntianChen,Chen Y.,"Peking University, College of Engineering",4,8,"['Geotechnical Engineering and Engineering Geology', 'Geochemistry and Petrology', 'Economic Geology', 'Energy Engineering and Power Technology', 'Building and Construction', 'Geology', 'Artificial Intelligence', 'Management, Monitoring, Policy and Law', 'Energy (all)', 'Cognitive Neuroscience', 'Mechanical Engineering']","['artificial intelligence', 'Fully Connected Neural Network', 'generating method', 'Long Short-Term Memory', 'machine learning', 'Recurrent Neural Network', 'well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log']"
JinMeng,Meng J.,"Peking University, College of Engineering",6,6,"['Water Science and Technology', 'Geology', 'Energy Engineering and Power Technology', 'Economic Geology', 'Chemical Engineering (all)', 'Catalysis', 'Cognitive Neuroscience', 'Geochemistry and Petrology', 'Geotechnical Engineering and Engineering Geology', 'Artificial Intelligence']","['artificial intelligence', 'Fully Connected Neural Network', 'generating method', 'Long Short-Term Memory', 'machine learning', 'Recurrent Neural Network', 'well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log', 'Artificial intelligence', 'Fully Connected Neural Network', 'Generating method', 'Long Short-Term Memory', 'Machine learning', 'Recurrent Neural Network', 'Well log']"
AbdelrahmanAyad,Ayad A.,"University of Waterloo, Department of Electrical & Computer Engineering",1,1,"['Electrical and Electronic Engineering', 'Artificial Intelligence', 'Safety, Risk, Reliability and Quality', 'Control and Optimization', 'Energy Engineering and Power Technology']","['Bad data detection', 'Cyber-security', 'False Data Injection', 'Recurrent Neural Networks', 'Smart grid', 'State estimation']"
Hany Essa ZidanFarag,Farag H.,"York University, Department of Electrical Engineering and Computer Science",53,559,"['Pollution', 'Energy (all)', 'Artificial Intelligence', 'Control and Optimization', 'Software', 'Building and Construction', 'Automotive Engineering', 'Computer Science (all)', 'Information Systems', 'Renewable Energy, Sustainability and the Environment', 'Computer Networks and Communications', 'Safety, Risk, Reliability and Quality', 'Energy Engineering and Power Technology', 'Control and Systems Engineering', 'Mechanical Engineering', 'Transportation', 'Nuclear Energy and Engineering', 'Civil and Structural Engineering', 'Hardware and Architecture', 'Management, Monitoring, Policy and Law', 'Fuel Technology', 'Signal Processing', 'Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Electrical and Electronic Engineering']","['Bad data detection', 'Cyber-security', 'False Data Injection', 'Recurrent Neural Networks', 'Smart grid', 'State estimation']"
Amr M.Youssef,Youssef A.,"Universite Concordia, Concordia Institute for Information Systems Engineering",182,1326,"['Algebra and Number Theory', 'Information Systems', 'Artificial Intelligence', 'Renewable Energy, Sustainability and the Environment', 'Computer Vision and Pattern Recognition', 'Mathematics (all)', 'Computational Mechanics', 'Library and Information Sciences', 'Energy (all)', 'Theoretical Computer Science', 'Discrete Mathematics and Combinatorics', 'Control and Systems Engineering', 'Engineering (all)', 'Computational Mathematics', 'Computer Networks and Communications', 'Analysis', 'Software', 'Media Technology', 'Aerospace Engineering', 'Computer Graphics and Computer-Aided Design', 'Law', 'Applied Mathematics', 'Pathology and Forensic Medicine', 'Computer Science (all)', 'Signal Processing', 'Control and Optimization', 'Modeling and Simulation', 'Biochemistry, Genetics and Molecular Biology (all)', 'Electrical and Electronic Engineering', 'Energy Engineering and Power Technology', 'Communication', 'Materials Science (all)', 'Automotive Engineering', 'Medical Laboratory Technology', 'Information Systems and Management', 'Safety, Risk, Reliability and Quality', 'Computer Science Applications', 'Hardware and Architecture', 'Computational Theory and Mathematics']","['Bad data detection', 'Cyber-security', 'False Data Injection', 'Recurrent Neural Networks', 'Smart grid', 'State estimation']"
EhabEl-Saadany,El-Saadany E.,Khalifa University of Science and Technology,345,8642,"['Control and Optimization', 'Analytical Chemistry', 'Biochemistry, Genetics and Molecular Biology (all)', 'Building and Construction', 'Civil and Structural Engineering', 'Transportation', 'Electrical and Electronic Engineering', 'Computer Science Applications', 'Modeling and Simulation', 'Electronic, Optical and Magnetic Materials', 'Energy (miscellaneous)', 'Computer Graphics and Computer-Aided Design', 'Energy Engineering and Power Technology', 'Computer Science (all)', 'Global and Planetary Change', 'Physics and Astronomy (miscellaneous)', 'Management, Monitoring, Policy and Law', 'Biochemistry', 'Signal Processing', 'Radiology, Nuclear Medicine and Imaging', 'Mechanical Engineering', 'Industrial and Manufacturing Engineering', 'Nuclear Energy and Engineering', 'Control and Systems Engineering', 'Information Systems', 'Renewable Energy, Sustainability and the Environment', 'Biomedical Engineering', 'Engineering (all)', 'Artificial Intelligence', 'Condensed Matter Physics', 'Theoretical Computer Science', 'Instrumentation', 'Hardware and Architecture', 'Mechanics of Materials', 'Fuel Technology', 'Pollution', 'Radiological and Ultrasound Technology', 'Atomic and Molecular Physics, and Optics', 'Energy (all)', 'Materials Science (all)', 'Bioengineering', 'Computer Networks and Communications', 'Applied Mathematics', 'Geography, Planning and Development', 'Safety, Risk, Reliability and Quality']","['Bad data detection', 'Cyber-security', 'False Data Injection', 'Recurrent Neural Networks', 'Smart grid', 'State estimation']"
YanXiao,Xiao Y.,"City University of Hong Kong, Department of Computer Science",14,10,"['Safety, Risk, Reliability and Quality', 'Software', 'Computer Networks and Communications', 'Information Systems', 'Hardware and Architecture', 'Education', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Computer Science Applications', 'Human-Computer Interaction']","['Bug localization', 'Deep learning', 'Lexical mismatch', 'Machine translation']"
Jacky WaiKeung,Keung J.,"City University of Hong Kong, Department of Computer Science",109,998,"['Computer Science (miscellaneous)', 'Mathematics (all)', 'Information Systems', 'Safety, Risk, Reliability and Quality', 'Computer Networks and Communications', 'Computer Science (all)', 'Software', 'Pediatrics', 'Materials Science (all)', 'Electrical and Electronic Engineering', 'Engineering (all)', 'Control and Systems Engineering', 'Computer Science Applications', 'Education', 'Human-Computer Interaction', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Hardware and Architecture', 'Computer Vision and Pattern Recognition', 'Artificial Intelligence', 'Computational Theory and Mathematics']","['Bug localization', 'Deep learning', 'Lexical mismatch', 'Machine translation']"
Kwabena EboBennin,Bennin K.,"City University of Hong Kong, Department of Computer Science",31,46,"['Software', 'Computer Science (all)', 'Information Systems', 'Geometry and Topology', 'Human-Computer Interaction', 'Safety, Risk, Reliability and Quality', 'Hardware and Architecture', 'Computer Networks and Communications', 'Computer Science Applications', 'Theoretical Computer Science', 'Electrical and Electronic Engineering', 'Computer Vision and Pattern Recognition']","['Bug localization', 'Deep learning', 'Lexical mismatch', 'Machine translation']"
QingMi,Mi Q.,"City University of Hong Kong, Department of Computer Science",14,8,"['Computer Networks and Communications', 'Safety, Risk, Reliability and Quality', 'Education', 'Hardware and Architecture', 'Computer Vision and Pattern Recognition', 'Computer Science Applications', 'Human-Computer Interaction', 'Software', 'Information Systems']","['Bug localization', 'Deep learning', 'Lexical mismatch', 'Machine translation']"
HassanAl Hajj,Al Hajj H.,Inserm,4,6,"['Radiology, Nuclear Medicine and Imaging', 'Computer Vision and Pattern Recognition', 'Computer Graphics and Computer-Aided Design', 'Biomedical Engineering', 'Signal Processing', 'Radiological and Ultrasound Technology', 'Health Informatics']","['Boosting', 'Cataract and cholecystectomy surgeries', 'Convolutional and recurrent neural networks', 'Tool usage monitoring', 'Video analysis']"
MathieuLamard,Lamard M.,Universite de Bretagne Occidentale,70,1007,"['Information Systems', 'Electronic, Optical and Magnetic Materials', 'Engineering (all)', 'Computer Science (all)', 'Radiology, Nuclear Medicine and Imaging', 'Ophthalmology', 'Bioengineering', 'Signal Processing', 'Biomedical Engineering', 'Biophysics', 'Electrical and Electronic Engineering', 'Theoretical Computer Science', 'Computer Networks and Communications', 'Computer Vision and Pattern Recognition', 'Sensory Systems', 'Computer Graphics and Computer-Aided Design', 'Cellular and Molecular Neuroscience', 'Health Informatics', 'Condensed Matter Physics', 'Computer Science Applications', 'Hardware and Architecture', 'Radiological and Ultrasound Technology', 'Software', 'Biotechnology', 'Media Technology', 'Surgery', 'Industrial and Manufacturing Engineering']","['Boosting', 'Cataract and cholecystectomy surgeries', 'Convolutional and recurrent neural networks', 'Tool usage monitoring', 'Video analysis']"
Pierre HenriConze,Conze P.,Inserm,18,71,"['Applied Mathematics', 'Computer Networks and Communications', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Information Systems', 'Electronic, Optical and Magnetic Materials', 'Surgery', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Biomedical Engineering', 'Condensed Matter Physics', 'Health Informatics', 'Computer Science Applications', 'Signal Processing', 'Computer Science (all)', 'Radiology, Nuclear Medicine and Imaging', 'Radiological and Ultrasound Technology', 'Software']","['Boosting', 'Cataract and cholecystectomy surgeries', 'Convolutional and recurrent neural networks', 'Tool usage monitoring', 'Video analysis']"
BéatriceCochener,Cochener B.,Universite de Bretagne Occidentale,159,2613,"['Information Systems', 'Computer Networks and Communications', 'Gerontology', 'Surgery', 'Electronic, Optical and Magnetic Materials', 'Psychiatry and Mental Health', 'Sensory Systems', 'Radiology, Nuclear Medicine and Imaging', 'Mathematics (all)', 'Instrumentation', 'Engineering (all)', 'Radiological and Ultrasound Technology', 'Immunology', 'Signal Processing', 'Medicine (all)', 'Biotechnology', 'Hardware and Architecture', 'Computer Science Applications', 'Materials Science (miscellaneous)', 'Nursing (all)', 'Media Technology', 'Pharmacology (medical)', 'Computer Graphics and Computer-Aided Design', 'Gastroenterology', 'Health Informatics', 'Computer Vision and Pattern Recognition', 'Cellular and Molecular Neuroscience', 'Geriatrics and Gerontology', 'Software', 'Condensed Matter Physics', 'Psychiatric Mental Health', 'Bioengineering', 'Dermatology', 'Theoretical Computer Science', 'Immunology and Allergy', 'Biophysics', 'Electrical and Electronic Engineering', 'Computer Science (all)', 'Ophthalmology', 'Rheumatology', 'Acoustics and Ultrasonics', 'Biomedical Engineering', 'Oncology']","['Boosting', 'Cataract and cholecystectomy surgeries', 'Convolutional and recurrent neural networks', 'Tool usage monitoring', 'Video analysis']"
GwenoléQuellec,Quellec G.,Inserm,71,1243,"['Human-Computer Interaction', 'Radiology, Nuclear Medicine and Imaging', 'Ophthalmology', 'Software', 'Radiological and Ultrasound Technology', 'Theoretical Computer Science', 'Information Systems', 'Computer Networks and Communications', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Biophysics', 'Sensory Systems', 'Biomedical Engineering', 'Bioengineering', 'Computer Science (all)', 'Medicine (all)', 'Hardware and Architecture', 'Health Informatics', 'Computer Science Applications', 'Biomaterials', 'Cellular and Molecular Neuroscience', 'Signal Processing', 'Electronic, Optical and Magnetic Materials', 'Engineering (all)', 'Computer Vision and Pattern Recognition', 'Media Technology', 'Computer Graphics and Computer-Aided Design', 'Industrial and Manufacturing Engineering', 'Biotechnology']","['Boosting', 'Cataract and cholecystectomy surgeries', 'Convolutional and recurrent neural networks', 'Tool usage monitoring', 'Video analysis']"
GuokunLai,Lai G.,Carnegie Mellon University,1,1,"['Information Systems', 'Computer Graphics and Computer-Aided Design', 'Software']","['Autoregressive models', 'Multivariate time series', 'Neural network']"
WeichengChang,Chang W.,Carnegie Mellon University,5,28,"['Computer Graphics and Computer-Aided Design', 'Software', 'Computer Networks and Communications', 'Artificial Intelligence', 'Information Systems', 'Signal Processing']","['Autoregressive models', 'Multivariate time series', 'Neural network']"
YimingYang,Yang Y.,Carnegie Mellon University,100,6658,"['Health Information Management', 'Medicine (all)', 'Decision Sciences (all)', 'Public Health, Environmental and Occupational Health', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computer Science (miscellaneous)', 'Management Information Systems', 'Computational Theory and Mathematics', 'Information Systems and Management', 'Statistics and Probability', 'Hardware and Architecture', 'Language and Linguistics', 'Applied Mathematics', 'Electrical and Electronic Engineering', 'Theoretical Computer Science', 'Computer Networks and Communications', 'Computer Vision and Pattern Recognition', 'Linguistics and Language', 'Computer Science (all)', 'Sociology and Political Science', 'Human-Computer Interaction', 'Information Systems', 'Clinical Biochemistry', 'Health Informatics', 'Library and Information Sciences', 'Artificial Intelligence', 'Control and Systems Engineering', 'Education', 'Nursing (all)', 'Business, Management and Accounting (all)', 'Computer Graphics and Computer-Aided Design', 'Engineering (all)', 'Signal Processing', 'Computer Science Applications', 'Software']","['Autoregressive models', 'Multivariate time series', 'Neural network']"
HanxiaoLiu,Liu H.,Carnegie Mellon University,1,1,"['Information Systems', 'Computer Graphics and Computer-Aided Design', 'Software']","['Autoregressive models', 'Multivariate time series', 'Neural network']"
SeongheonLee,Lee S.,"Korea Advanced Institute of Science & Technology, Department of Aerospace Engineering",6,6,"['Aerospace Engineering', 'Transportation', 'Control and Optimization', 'Electrical and Electronic Engineering', 'Software', 'Control and Systems Engineering', 'Applied Mathematics', 'Space and Planetary Science']",[]
HyochoongBang,Bang H.,Korea Advanced Institute of Science & Technology,264,1771,"['Analytical Chemistry', 'Hardware and Architecture', 'Automotive Engineering', 'Control and Optimization', 'Signal Processing', 'Physics and Astronomy (miscellaneous)', 'Biochemistry', 'Safety, Risk, Reliability and Quality', 'Geotechnical Engineering and Engineering Geology', 'Electronic, Optical and Magnetic Materials', 'Management Science and Operations Research', 'Atmospheric Science', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Civil and Structural Engineering', 'Human-Computer Interaction', 'Software', 'Chemical Health and Safety', 'Materials Science (all)', 'Applied Mathematics', 'Condensed Matter Physics', 'Computer Vision and Pattern Recognition', 'Media Technology', 'Mechanical Engineering', 'Computer Science (all)', 'Computer Science Applications', 'Computer Networks and Communications', 'Information Systems', 'Fuel Technology', 'Space and Planetary Science', 'Engineering (all)', 'Atomic and Molecular Physics, and Optics', 'Physics and Astronomy (all)', 'Instrumentation', 'Communication', 'Mechanics of Materials', 'Theoretical Computer Science', 'Engineering (miscellaneous)', 'Architecture', 'Transportation', 'Industrial and Manufacturing Engineering', 'Astronomy and Astrophysics', 'Aerospace Engineering', 'Artificial Intelligence']",[]
CedricDe Boom,De Boom C.,"Universiteit Gent, Department of Information Technology",11,36,"['Materials Science (all)', 'Signal Processing', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Safety, Risk, Reliability and Quality', 'Electrical and Electronic Engineering', 'Control and Optimization', 'Computer Networks and Communications', 'Computer Science Applications', 'Media Technology', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Software', 'Hardware and Architecture', 'Human-Computer Interaction', 'Artificial Intelligence', 'Engineering (all)', 'Information Systems and Management']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
RohanAgrawal,Agrawal R.,Spotify Limited,1,1,"['Software', 'Hardware and Architecture', 'Computer Networks and Communications', 'Media Technology']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
SamanthaHansen,Hansen S.,Spotify,2,1,"['Software', 'Media Technology', 'Hardware and Architecture', 'Computer Networks and Communications']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
EshKumar,Kumar E.,Spotify Limited,1,1,"['Hardware and Architecture', 'Computer Networks and Communications', 'Software', 'Media Technology']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
RomainYon,Yon R.,Spotify Limited,1,1,"['Software', 'Media Technology', 'Computer Networks and Communications', 'Hardware and Architecture']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
ChingweiChen,Chen C.,Spotify,4,26,"['Library and Information Sciences', 'Human-Computer Interaction', 'Computer Networks and Communications', 'Information Systems', 'Hardware and Architecture', 'Software', 'Computer Vision and Pattern Recognition', 'Media Technology']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
ThomasDemeester,Demeester T.,"Universiteit Gent, Department of Information Technology",47,187,"['Language and Linguistics', 'Atomic and Molecular Physics, and Optics', 'Engineering (all)', 'Electronic, Optical and Magnetic Materials', 'Computer Networks and Communications', 'Media Technology', 'Information Systems', 'Industrial and Manufacturing Engineering', 'Linguistics and Language', 'Management, Monitoring, Policy and Law', 'Hardware and Architecture', 'Management Information Systems', 'Energy (all)', 'Information Systems and Management', 'Education', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Radiation', 'Computer Science Applications', 'Signal Processing', 'Building and Construction', 'Computer Vision and Pattern Recognition', 'Electrical and Electronic Engineering', 'Computer Science (all)', 'Library and Information Sciences', 'Artificial Intelligence', 'Mechanical Engineering', 'Human-Computer Interaction', 'Software', 'Condensed Matter Physics']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
BartDhoedt,Dhoedt B.,"Universiteit Gent, Department of Information Technology",359,2967,"['Civil and Structural Engineering', 'Economics, Econometrics and Finance (all)', 'Theoretical Computer Science', 'Hardware and Architecture', 'Public Health, Environmental and Occupational Health', 'Modeling and Simulation', 'Mathematics (miscellaneous)', 'Electronic, Optical and Magnetic Materials', 'Computational Mathematics', 'Industrial and Manufacturing Engineering', 'Human-Computer Interaction', 'Nursing (all)', 'Management Science and Operations Research', 'Biochemistry', 'Artificial Intelligence', 'Business, Management and Accounting (all)', 'Condensed Matter Physics', 'Computational Mechanics', 'History', 'Computer Networks and Communications', 'Atomic and Molecular Physics, and Optics', 'Geography, Planning and Development', 'Communication', 'Physics and Astronomy (all)', 'Automotive Engineering', 'Information Systems and Management', 'Safety, Risk, Reliability and Quality', 'Environmental Chemistry', 'Transportation', 'Health Information Management', 'Statistics and Probability', 'Instrumentation', 'Control and Optimization', 'Molecular Biology', 'Computer Science (miscellaneous)', 'Advanced and Specialized Nursing', 'Computer Graphics and Computer-Aided Design', 'Computer Science (all)', 'Signal Processing', 'Electrical and Electronic Engineering', 'Computer Science Applications', 'Software', 'Physics and Astronomy (miscellaneous)', 'Information Systems', 'Management, Monitoring, Policy and Law', 'Media Technology', 'Management of Technology and Innovation', 'Health Informatics', 'Control and Systems Engineering', 'Acoustics and Ultrasonics', 'Engineering (all)', 'Genetics', 'Computer Vision and Pattern Recognition', 'Strategy and Management', 'Biochemistry, Genetics and Molecular Biology (all)', 'Materials Science (all)', 'Computational Theory and Mathematics', 'Applied Mathematics', 'Water Science and Technology']","['Deep learning', 'Machine learning', 'Music information retrieval', 'Recommender systems', 'Recurrent neural networks', 'Representation learning', 'Word2vec']"
GuangxiaoSong,Song G.,"Donghua University, College of Information Science and Technology",3,1,"['Cognitive Neuroscience', 'Artificial Intelligence', 'Information Systems and Management', 'Computer Science Applications']","['Deep learning', 'Music auto-tagging', 'Music information retrieval', 'Recurrent Neural Network', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning']"
ZhijieWang,Wang Z.,"Donghua University, College of Information Science and Technology",26,91,"['Neuroscience (miscellaneous)', 'Analysis', 'Control and Systems Engineering', 'Computational Theory and Mathematics', 'Engineering (all)', 'Information Systems and Management', 'Statistics and Probability', 'Computer Networks and Communications', 'Physics and Astronomy (all)', 'Computer Science (miscellaneous)', 'Mathematics (all)', 'Biomedical Engineering', 'Industrial and Manufacturing Engineering', 'Computer Science Applications', 'Mathematical Physics', 'Computational Mathematics', 'Cognitive Neuroscience', 'Numerical Analysis', 'Theoretical Computer Science', 'Mechanics of Materials', 'Neuroscience (all)', 'Artificial Intelligence', 'Applied Mathematics', 'Cellular and Molecular Neuroscience', 'Modeling and Simulation', 'Computer Science (all)', 'Condensed Matter Physics', 'Mechanical Engineering', 'Statistical and Nonlinear Physics']","['Deep learning', 'Music auto-tagging', 'Music information retrieval', 'Recurrent Neural Network', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning']"
FangHan,Han F.,"Peking University, Department of Pulmonary Medicine",179,1558,"['Information Systems', 'Electronic, Optical and Magnetic Materials', 'Surgery', 'Physics and Astronomy (all)', 'Cell Biology', 'Computational Theory and Mathematics', 'Biochemistry, Genetics and Molecular Biology (all)', 'Immunology', 'Numerical Analysis', 'Critical Care and Intensive Care Medicine', 'Endocrinology', 'Genetics (clinical)', 'Industrial and Manufacturing Engineering', 'Computer Science Applications', 'Computational Mathematics', 'Neuroscience (all)', 'Experimental and Cognitive Psychology', 'Molecular Medicine', 'Biochemistry', 'Ecology, Evolution, Behavior and Systematics', 'Immunology and Allergy', 'Condensed Matter Physics', 'Otorhinolaryngology', 'Geriatrics and Gerontology', 'Artificial Intelligence', 'Pulmonary and Respiratory Medicine', 'Cancer Research', 'Software', 'Cellular and Molecular Neuroscience', 'Physiology (medical)', 'Multidisciplinary', 'Oncology', 'Physical Therapy, Sports Therapy and Rehabilitation', 'Computer Networks and Communications', 'Control and Systems Engineering', 'Engineering (all)', 'Mechanical Engineering', 'Neuropsychology and Physiological Psychology', 'Neuroscience (miscellaneous)', 'Molecular Biology', 'Information Systems and Management', 'Discrete Mathematics and Combinatorics', 'Biomedical Engineering', 'Mathematics (all)', 'Psychiatry and Mental Health', 'Neurology', 'Agricultural and Biological Sciences (all)', 'Genetics', 'Chemistry (all)', 'Behavioral Neuroscience', 'Neurology (clinical)', 'Pediatrics, Perinatology and Child Health', 'Mechanics of Materials', 'Theoretical Computer Science', 'Toxicology', 'Clinical Psychology', 'Health Informatics', 'Medicine (miscellaneous)', 'Cognitive Neuroscience', 'Nutrition and Dietetics', 'Physiology', 'Modeling and Simulation', 'Orthopedics and Sports Medicine', 'Biophysics', 'Medicine (all)', 'Electrical and Electronic Engineering', 'Cardiology and Cardiovascular Medicine', 'Applied Mathematics', 'Computer Science (all)', 'Food Science', 'Acoustics and Ultrasonics']","['Deep learning', 'Music auto-tagging', 'Music information retrieval', 'Recurrent Neural Network', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning']"
ShenyiDing,Ding S.,"Donghua University, College of Information Science and Technology",3,1,"['Cognitive Neuroscience', 'Artificial Intelligence', 'Computer Science Applications', 'Information Systems and Management']","['Deep learning', 'Music auto-tagging', 'Music information retrieval', 'Recurrent Neural Network', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning', 'Deep learning', 'Music genre classification', 'Transfer learning']"
